image_path,mask_path
/mnt/Enterprise2/PUBLIC_DATASETS/acouslic-ai/images/unstacked_fetal_ultrasound/0d0a3298-a9c6-43c3-a9e3-df3a9c0afa06/sweep_id/1.mha,/mnt/Enterprise2/PUBLIC_DATASETS/acouslic-ai/masks/unstacked_fetal_ultrasound/0d0a3298-a9c6-43c3-a9e3-df3a9c0afa06/sweep_id/1.mha
/mnt/Enterprise2/PUBLIC_DATASETS/acouslic-ai/images/unstacked_fetal_ultrasound/0d0a3298-a9c6-43c3-a9e3-df3a9c0afa06/sweep_id/2.mha,/mnt/Enterprise2/PUBLIC_DATASETS/acouslic-ai/masks/unstacked_fetal_ultrasound/0d0a3298-a9c6-43c3-a9e3-df3a9c0afa06/sweep_id/2.mha
/mnt/Enterprise2/PUBLIC_DATASETS/acouslic-ai/images/unstacked_fetal_ultrasound/0d0a3298-a9c6-43c3-a9e3-df3a9c0afa06/sweep_id/3.mha,/mnt/Enterprise2/PUBLIC_DATASETS/acouslic-ai/masks/unstacked_fetal_ultrasound/0d0a3298-a9c6-43c3-a9e3-df3a9c0afa06/sweep_id/3.mha
/mnt/Enterprise2/PUBLIC_DATASETS/acouslic-ai/images/unstacked_fetal_ultrasound/0d0a3298-a9c6-43c3-a9e3-df3a9c0afa06/sweep_id/4.mha,/mnt/Enterprise2/PUBLIC_DATASETS/acouslic-ai/masks/unstacked_fetal_ultrasound/0d0a3298-a9c6-43c3-a9e3-df3a9c0afa06/sweep_id/4.mha
/mnt/Enterprise2/PUBLIC_DATASETS/acouslic-ai/images/unstacked_fetal_ultrasound/0d0a3298-a9c6-43c3-a9e3-df3a9c0afa06/sweep_id/5.mha,/mnt/Enterprise2/PUBLIC_DATASETS/acouslic-ai/masks/unstacked_fetal_ultrasound/0d0a3298-a9c6-43c3-a9e3-df3a9c0afa06/sweep_id/5.mha
/mnt/Enterprise2/PUBLIC_DATASETS/acouslic-ai/images/unstacked_fetal_ultrasound/0d0a3298-a9c6-43c3-a9e3-df3a9c0afa06/sweep_id/6.mha,/mnt/Enterprise2/PUBLIC_DATASETS/acouslic-ai/masks/unstacked_fetal_ultrasound/0d0a3298-a9c6-43c3-a9e3-df3a9c0afa06/sweep_id/6.mha
/mnt/Enterprise2/PUBLIC_DATASETS/acouslic-ai/images/unstacked_fetal_ultrasound/7f9d11c1-349b-4304-a672-4ed3f532d2f0/sweep_id/1.mha,/mnt/Enterprise2/PUBLIC_DATASETS/acouslic-ai/masks/unstacked_fetal_ultrasound/7f9d11c1-349b-4304-a672-4ed3f532d2f0/sweep_id/1.mha
/mnt/Enterprise2/PUBLIC_DATASETS/acouslic-ai/images/unstacked_fetal_ultrasound/7f9d11c1-349b-4304-a672-4ed3f532d2f0/sweep_id/2.mha,/mnt/Enterprise2/PUBLIC_DATASETS/acouslic-ai/masks/unstacked_fetal_ultrasound/7f9d11c1-349b-4304-a672-4ed3f532d2f0/sweep_id/2.mha
/mnt/Enterprise2/PUBLIC_DATASETS/acouslic-ai/images/unstacked_fetal_ultrasound/7f9d11c1-349b-4304-a672-4ed3f532d2f0/sweep_id/3.mha,/mnt/Enterprise2/PUBLIC_DATASETS/acouslic-ai/masks/unstacked_fetal_ultrasound/7f9d11c1-349b-4304-a672-4ed3f532d2f0/sweep_id/3.mha
/mnt/Enterprise2/PUBLIC_DATASETS/acouslic-ai/images/unstacked_fetal_ultrasound/7f9d11c1-349b-4304-a672-4ed3f532d2f0/sweep_id/4.mha,/mnt/Enterprise2/PUBLIC_DATASETS/acouslic-ai/masks/unstacked_fetal_ultrasound/7f9d11c1-349b-4304-a672-4ed3f532d2f0/sweep_id/4.mha
